# wio [Celsius] West Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1909 9 0.0721604
1909 10 -0.0810102
1909 11 -0.173477
1909 12 -0.189155
1910 1 0.0384224
1910 2 -0.425059
1910 3 -0.180162
1910 4 -0.495668
1910 5 -0.255259
1910 6 -0.18909
1910 7 0.141377
1910 8 -0.113645
1910 9 -0.00727661
1910 10 0.0154294
1910 11 -0.257223
1910 12 -0.394885
1911 1 -0.161362
1911 2 -0.201069
1911 3 0.269019
1911 4 -0.0309315
1911 5 -0.0997068
1911 6 -0.0592217
1911 7 -0.135645
1911 8 -0.0597991
1911 9 -0.245136
1911 10 -0.149109
1911 11 -0.262525
1911 12 -0.253354
1912 1 -0.0920496
1912 2 -0.0450612
1912 3 -0.312023
1912 4 0.0287757
1912 5 -0.284008
1912 6 -0.199534
1912 7 0.0403946
1912 8 0.197059
1912 9 0.12088
1912 10 -0.0215196
1912 11 0.0111868
1912 12 -0.186555
1913 1 -0.26842
1913 2 -0.0273331
1913 3 -0.42093
1913 4 -0.38317
1913 5 -0.341303
1913 6 -0.533194
1913 7 -0.440939
1913 8 -0.406202
1913 9 -0.26636
1913 10 -0.466865
1913 11 -0.16072
1913 12 -0.0818508
1914 1 -0.0331166
1914 2 0.0554282
1914 3 0.048051
1914 4 -0.0909785
1914 5 -0.184559
1914 6 -0.311596
1914 7 -0.0594695
1914 8 -0.135112
1914 9 -0.391723
1914 10 -0.206966
1914 11 0.246437
1914 12 0.191611
1915 1 0.104406
1915 2 0.180913
1915 3 0.101824
1915 4 0.201206
1915 5 0.247022
1915 6 0.275362
1915 7 0.333522
1915 8 0.0443701
1915 9 0.140123
1915 10 -0.060037
1915 11 -0.0290006
1915 12 -0.219562
1916 1 -0.362387
1916 2 -0.395781
1916 3 -0.375257
1916 4 -0.306976
1916 5 -0.241833
1916 6 0.00339464
1916 7 0.0167569
1916 8 0.206626
1916 9 0.394217
1916 10 0.0462733
1916 11 -0.318969
1916 12 -0.393945
1917 1 -0.579058
1917 2 -0.514749
1917 3 -0.687466
1917 4 -0.382418
1917 5 -0.36478
1917 6 -0.204522
1917 7 0.0483894
1917 8 0.0901803
1917 9 0.332892
1917 10 0.13892
1917 11 -0.0856485
1917 12 -0.34735
1918 1 -0.780186
1918 2 -0.964665
1918 3 -0.766964
1918 4 -0.501414
1918 5 -0.333299
1918 6 -0.366082
1918 7 -0.334664
1918 8 -0.445957
1918 9 -0.366677
1918 10 -0.295663
1918 11 -0.124486
1918 12 -0.21201
1919 1 0.0809216
1919 2 0.0889481
1919 3 0.0583175
1919 4 0.128431
1919 5 0.227911
1919 6 0.190285
1919 7 -0.114617
1919 8 -0.0454257
1919 9 -0.0682118
1919 10 -0.216354
1919 11 -0.489847
1919 12 -0.23796
1920 1 -0.236502
1920 2 -0.322177
1920 3 -0.287018
1920 4 -0.319071
1920 5 -0.382012
1920 6 -0.378671
1920 7 -0.325859
1920 8 0.0334304
1920 9 -0.0369213
1920 10 -0.283662
1920 11 -0.0726986
1920 12 -0.243416
1921 1 -0.28222
1921 2 -0.372408
1921 3 -0.439492
1921 4 -0.183039
1921 5 -0.485679
1921 6 -0.336103
1921 7 -0.186677
1921 8 0.0419019
1921 9 -0.236664
1921 10 -0.0339754
1921 11 -0.142518
1921 12 0.0423523
1922 1 -0.0940786
1922 2 -0.11477
1922 3 -0.405226
1922 4 -0.260532
1922 5 -0.239495
1922 6 -0.220192
1922 7 -0.118728
1922 8 -0.0888238
1922 9 -0.270754
1922 10 -0.0640244
1922 11 0.011196
1922 12 -0.374498
1923 1 -0.416269
1923 2 -0.258838
1923 3 -0.189525
1923 4 -0.136256
1923 5 -0.0658426
1923 6 -0.262619
1923 7 -0.237099
1923 8 -0.524323
1923 9 -0.767988
1923 10 -0.545778
1923 11 -0.456478
1923 12 -0.107731
1924 1 0.135104
1924 2 0.331956
1924 3 0.248048
1924 4 0.0639349
1924 5 -0.0545867
1924 6 0.0508596
1924 7 -0.0633378
1924 8 -0.132967
1924 9 0.0592759
1924 10 -0.324381
1924 11 -0.337571
1924 12 -0.253705
1925 1 -0.42459
1925 2 -0.639959
1925 3 -0.474188
1925 4 -0.755446
1925 5 -0.397031
1925 6 -0.501306
1925 7 -0.220003
1925 8 -0.400934
1925 9 -0.623186
1925 10 -0.41397
1925 11 -0.200956
1925 12 -0.0946016
1926 1 -0.087132
1926 2 0.0666257
1926 3 0.0243183
1926 4 0.0461082
1926 5 -0.0540872
1926 6 -0.223355
1926 7 0.13333
1926 8 -0.216332
1926 9 -0.0424563
1926 10 -0.133527
1926 11 -0.0118767
1926 12 -0.0413803
1927 1 -0.3034
1927 2 -0.0345894
1927 3 -0.219981
1927 4 -0.130714
1927 5 -0.31172
1927 6 -0.272873
1927 7 0.0624825
1927 8 -0.0380845
1927 9 0.000938291
1927 10 0.00113536
1927 11 -0.182605
1927 12 -0.0900144
1928 1 0.147931
1928 2 0.189183
1928 3 -0.000838616
1928 4 -0.227191
1928 5 -0.135544
1928 6 0.0552139
1928 7 -0.000235845
1928 8 0.273908
1928 9 0.308536
1928 10 0.0399852
1928 11 -0.031163
1928 12 0.0103529
1929 1 -0.125252
1929 2 -0.180596
1929 3 -0.205896
1929 4 -0.0661155
1929 5 -0.271327
1929 6 -0.315262
1929 7 -0.335084
1929 8 -0.198722
1929 9 -0.20994
1929 10 -0.145714
1929 11 -0.0970388
1929 12 -0.0324651
1930 1 0.107722
1930 2 0.131754
1930 3 0.130761
1930 4 0.183475
1930 5 -0.0410394
1930 6 -0.308557
1930 7 -0.170855
1930 8 -0.134983
1930 9 0.143212
1930 10 0.0330516
1930 11 -0.103601
1930 12 -0.0195934
1931 1 0.18599
1931 2 0.568528
1931 3 0.563265
1931 4 0.481241
1931 5 0.331683
1931 6 0.335041
1931 7 0.366674
1931 8 0.192465
1931 9 0.357965
1931 10 0.0969511
1931 11 0.0487089
1931 12 0.182358
1932 1 -0.0213062
1932 2 -0.0484739
1932 3 0.0516014
1932 4 -0.241207
1932 5 0.0328256
1932 6 -0.0113879
1932 7 -0.157072
1932 8 0.0872915
1932 9 -0.174232
1932 10 0.0849357
1932 11 -0.184065
1932 12 -0.350843
1933 1 0.0742627
1933 2 -0.0780989
1933 3 -0.277374
1933 4 -0.391107
1933 5 0.052257
1933 6 -0.0530831
1933 7 0.0684131
1933 8 0.129017
1933 9 0.60032
1933 10 0.168582
1933 11 -0.0602466
1933 12 -0.108185
1934 1 -0.250384
1934 2 -0.600687
1934 3 -0.677946
1934 4 -0.454667
1934 5 -0.516071
1934 6 -0.312301
1934 7 -0.182198
1934 8 -0.287306
1934 9 0.00761511
1934 10 -0.238728
1934 11 -0.154747
1934 12 0.0528573
1935 1 -0.189254
1935 2 0.0207632
1935 3 -0.402833
1935 4 0.0209284
1935 5 -0.328169
1935 6 -0.331932
1935 7 -0.527535
1935 8 -0.422899
1935 9 -0.283586
1935 10 -0.251806
1935 11 -0.366843
1935 12 -0.208808
1936 1 -0.13955
1936 2 0.251344
1936 3 0.0714004
1936 4 -0.141506
1936 5 -0.167943
1936 6 -0.249749
1936 7 -0.207107
1936 8 0.237959
1936 9 0.311562
1936 10 0.215056
1936 11 -0.11248
1936 12 0.264406
1937 1 -0.0134795
1937 2 0.369751
1937 3 0.238546
1937 4 0.218911
1937 5 -0.151695
1937 6 0.157204
1937 7 0.190362
1937 8 0.0229115
1937 9 -0.0399453
1937 10 0.056194
1937 11 0.10125
1937 12 -0.156039
1938 1 0.0188597
1938 2 0.134207
1938 3 0.0165322
1938 4 0.0796386
1938 5 -0.0850824
1938 6 0.263229
1938 7 0.243242
1938 8 -0.0919723
1938 9 0.0530146
1938 10 0.145215
1938 11 0.196067
1938 12 0.112525
1939 1 -0.323546
1939 2 -0.378864
1939 3 -0.380989
1939 4 -0.14899
1939 5 -0.17605
1939 6 -0.12829
1939 7 0.0159166
1939 8 -0.0427446
1939 9 -0.232462
1939 10 -0.32362
1939 11 0.171581
1939 12 -0.046992
1940 1 -0.184276
1940 2 -0.0158412
1940 3 0.258261
1940 4 0.119133
1940 5 0.0854794
1940 6 -0.0897899
1940 7 0.187667
1940 8 -0.167405
1940 9 0.0626763
1940 10 0.262994
1940 11 0.331985
1940 12 0.322711
1941 1 0.483538
1941 2 0.679797
1941 3 0.460049
1941 4 0.492431
1941 5 0.296579
1941 6 0.427009
1941 7 0.533959
1941 8 0.525589
1941 9 0.187209
1941 10 0.183771
1941 11 0.119771
1941 12 0.499164
1942 1 0.254959
1942 2 0.201637
1942 3 0.420537
1942 4 0.293194
1942 5 0.365893
1942 6 0.523183
1942 7 0.118876
1942 8 0.638605
1942 9 0.396722
1942 10 -0.0394433
1942 11 0.0607483
1942 12 -0.0468186
1943 1 -0.151474
1943 2 -0.18653
1943 3 -0.206259
1943 4 -0.275451
1943 5 -0.0467665
1943 6 -0.390596
1943 7 -0.397338
1943 8 -0.276862
1943 9 0.270641
1943 10 0.145594
1943 11 0.234187
1943 12 0.132059
1944 1 0.0231383
1944 2 -0.351954
1944 3 0.0363692
1944 4 -0.0550194
1944 5 -0.323293
1944 6 0.040545
1944 7 -0.0950972
1944 8 -0.124294
1944 9 0.0110632
1944 10 0.177771
1944 11 0.0467596
1944 12 0.105365
1945 1 0.401567
1945 2 0.295533
1945 3 -0.339402
1945 4 -0.180321
1945 5 -0.0430047
1945 6 0.150453
1945 7 0.426446
1945 8 0.433947
1945 9 0.0366206
1945 10 -0.0506441
1945 11 -0.0760477
1945 12 0.144011
1946 1 -0.26442
1946 2 -0.122946
1946 3 0.0264237
1946 4 0.326545
1946 5 -0.401655
1946 6 -0.116554
1946 7 -0.315879
1946 8 -0.585824
1946 9 -0.44196
1946 10 -0.160442
1946 11 -0.379011
1946 12 -0.329314
1947 1 0.0302451
1947 2 -0.3183
1947 3 -0.303991
1947 4 -0.508108
1947 5 -0.417993
1947 6 -0.271749
1947 7 -0.114593
1947 8 0.0622022
1947 9 0.0474943
1947 10 -0.195174
1947 11 -0.387403
1947 12 -0.496005
1948 1 -0.346484
1948 2 -0.248867
1948 3 -0.201375
1948 4 -0.203932
1948 5 -0.311502
1948 6 -0.284562
1948 7 -0.131873
1948 8 -0.00620737
1948 9 -0.157657
1948 10 -0.187849
1948 11 -0.232931
1948 12 0.15998
1949 1 -0.415885
1949 2 -0.475058
1949 3 -0.312918
1949 4 -0.533347
1949 5 -0.406471
1949 6 -0.383547
1949 7 -0.290621
1949 8 -0.451475
1949 9 -0.342566
1949 10 -0.320911
1949 11 -0.0714697
1949 12 -0.150209
1950 1 -0.325364
1950 2 -0.0340617
1950 3 0.226092
1950 4 -0.159772
1950 5 -0.196562
1950 6 -0.0861213
1950 7 -0.274853
1950 8 -0.439631
1950 9 -0.182063
1950 10 -0.123172
1950 11 -0.471847
1950 12 -0.583196
1951 1 -0.811511
1951 2 -0.721596
1951 3 -0.588535
1951 4 -0.223323
1951 5 -0.355846
1951 6 -0.0874325
1951 7 -0.183415
1951 8 -0.365064
1951 9 -0.12325
1951 10 -0.0599219
1951 11 -0.18524
1951 12 0.051712
1952 1 -0.0970695
1952 2 -0.127683
1952 3 -0.220477
1952 4 -0.162146
1952 5 -0.0639718
1952 6 -0.162413
1952 7 -0.0477454
1952 8 -0.0561822
1952 9 0.035126
1952 10 -0.109278
1952 11 -0.22635
1952 12 -0.217341
1953 1 -0.40602
1953 2 -0.455066
1953 3 -0.176855
1953 4 -0.0843541
1953 5 -0.302031
1953 6 0.00716078
1953 7 -0.242572
1953 8 -0.288199
1953 9 -0.335494
1953 10 -0.148727
1953 11 0.00887428
1953 12 0.208683
1954 1 0.147357
1954 2 0.12303
1954 3 -0.0245246
1954 4 -0.160707
1954 5 0.214777
1954 6 0.0499115
1954 7 -0.0946954
1954 8 -0.181353
1954 9 -0.197284
1954 10 -0.223444
1954 11 -0.218233
1954 12 -0.556991
1955 1 -0.177578
1955 2 -0.395668
1955 3 -0.416478
1955 4 -0.418353
1955 5 0.0352741
1955 6 -0.347913
1955 7 -0.25055
1955 8 -0.0585037
1955 9 0.139224
1955 10 -0.036368
1955 11 -0.277302
1955 12 -0.133327
1956 1 -0.251545
1956 2 -0.425647
1956 3 -0.333424
1956 4 -0.0658824
1956 5 -0.100306
1956 6 0.110119
1956 7 0.216515
1956 8 0.0944627
1956 9 0.0334264
1956 10 0.0551134
1956 11 -0.0375874
1956 12 -0.20453
1957 1 0.116202
1957 2 0.198883
1957 3 -0.0186166
1957 4 0.0723155
1957 5 0.342212
1957 6 0.160643
1957 7 0.0889118
1957 8 0.00550817
1957 9 -0.151189
1957 10 0.0123757
1957 11 0.308869
1957 12 0.0458218
1958 1 0.474017
1958 2 0.316876
1958 3 0.266955
1958 4 0.197777
1958 5 0.24447
1958 6 0.417479
1958 7 0.724051
1958 8 0.909352
1958 9 0.762147
1958 10 0.514373
1958 11 0.364345
1958 12 0.52714
1959 1 0.189151
1959 2 0.604742
1959 3 0.432961
1959 4 0.182368
1959 5 0.463202
1959 6 0.305112
1959 7 0.0696066
1959 8 0.253205
1959 9 0.163643
1959 10 0.151964
1959 11 0.305085
1959 12 0.22839
1960 1 0.0445648
1960 2 -0.138027
1960 3 0.286721
1960 4 0.535258
1960 5 0.535257
1960 6 0.338122
1960 7 0.249361
1960 8 0.0387531
1960 9 0.152051
1960 10 0.280028
1960 11 0.246782
1960 12 0.326321
1961 1 -0.164735
1961 2 -0.193124
1961 3 -0.0762075
1961 4 0.407522
1961 5 0.0439736
1961 6 -0.242397
1961 7 -0.722286
1961 8 -0.861482
1961 9 -0.729275
1961 10 -0.56617
1961 11 -0.459498
1961 12 -0.301101
1962 1 -0.582766
1962 2 -0.71609
1962 3 -0.342637
1962 4 -0.118955
1962 5 0.0264329
1962 6 0.00681369
1962 7 -0.0126339
1962 8 0.0444116
1962 9 -0.160023
1962 10 -0.0386309
1962 11 -0.00532826
1962 12 -0.0123063
1963 1 -0.456135
1963 2 -0.572705
1963 3 -0.445635
1963 4 -0.22456
1963 5 -0.0956002
1963 6 -0.111195
1963 7 -0.438239
1963 8 -0.683187
1963 9 -0.465271
1963 10 -0.508451
1963 11 -0.219946
1963 12 0.0675178
1964 1 0.602535
1964 2 0.703189
1964 3 0.344061
1964 4 0.196638
1964 5 0.0555591
1964 6 0.017056
1964 7 0.0519304
1964 8 -0.151414
1964 9 0.0931926
1964 10 0.219304
1964 11 -0.405685
1964 12 -0.39756
1965 1 -0.232277
1965 2 0.00491614
1965 3 -0.365209
1965 4 -0.185262
1965 5 -0.127754
1965 6 -0.150199
1965 7 -0.184501
1965 8 -0.220591
1965 9 -0.177364
1965 10 -0.355097
1965 11 -0.0472534
1965 12 0.0665776
1966 1 0.0691404
1966 2 0.323293
1966 3 0.253897
1966 4 0.139153
1966 5 -0.00950104
1966 6 -0.109276
1966 7 -0.253696
1966 8 -0.423829
1966 9 -0.297538
1966 10 -0.0539666
1966 11 0.0806729
1966 12 -0.122521
1967 1 -0.398602
1967 2 -0.547212
1967 3 -0.486841
1967 4 -0.0450867
1967 5 -0.00790193
1967 6 -0.234608
1967 7 -0.677603
1967 8 -0.560015
1967 9 -0.607618
1967 10 -0.33227
1967 11 -0.138965
1967 12 -0.231873
1968 1 -0.469409
1968 2 -0.485295
1968 3 -0.372389
1968 4 -0.224857
1968 5 -0.0463202
1968 6 0.00138369
1968 7 0.160786
1968 8 0.210879
1968 9 0.396154
1968 10 0.198806
1968 11 0.219399
1968 12 0.191288
1969 1 0.382088
1969 2 0.378644
1969 3 0.343066
1969 4 0.339261
1969 5 0.333307
1969 6 0.339916
1969 7 0.136051
1969 8 0.0631312
1969 9 0.0502777
1969 10 0.210157
1969 11 0.0866762
1969 12 0.260304
1970 1 0.16966
1970 2 -0.0697327
1970 3 0.225292
1970 4 -0.0332501
1970 5 -0.0676425
1970 6 0.221868
1970 7 0.269473
1970 8 0.0675177
1970 9 0.259715
1970 10 0.1445
1970 11 -0.00325345
1970 12 -0.176854
1971 1 -0.571179
1971 2 -0.709152
1971 3 -0.8135
1971 4 -0.474
1971 5 -0.26079
1971 6 -0.127272
1971 7 -0.110468
1971 8 0.0944238
1971 9 0.128239
1971 10 0.0306862
1971 11 -0.267166
1971 12 -0.416767
1972 1 -0.201188
1972 2 -0.0235857
1972 3 -0.393504
1972 4 -0.204983
1972 5 -0.0805296
1972 6 -0.282454
1972 7 -0.355549
1972 8 -0.18979
1972 9 -0.0517215
1972 10 0.0586485
1972 11 -0.111022
1972 12 0.0571636
1973 1 0.514711
1973 2 0.314185
1973 3 0.26344
1973 4 0.457456
1973 5 0.264847
1973 6 0.336693
1973 7 0.562383
1973 8 0.533043
1973 9 0.639851
1973 10 0.293402
1973 11 -0.0114682
1973 12 -0.368541
1974 1 -0.632528
1974 2 -0.579132
1974 3 -0.57812
1974 4 -0.341393
1974 5 -0.169629
1974 6 -0.101628
1974 7 0.131452
1974 8 0.212529
1974 9 0.24429
1974 10 0.265029
1974 11 -0.05212
1974 12 0.0723452
1975 1 -0.00503602
