# seio [Celsius] East Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1901 1 -0.0407005
1901 2 -0.480256
1901 3 -0.435966
1901 4 -0.247732
1901 5 -0.278641
1901 6 -0.464177
1901 7 -0.626749
1901 8 -0.5492
1901 9 -0.780959
1901 10 -0.480136
1901 11 -0.542153
1901 12 -0.46244
1902 1 -0.313335
1902 2 -0.251348
1902 3 -0.268447
1902 4 -0.0831735
1902 5 -0.171597
1902 6 -0.0893814
1902 7 -0.180977
1902 8 0.0208024
1902 9 -0.104052
1902 10 -0.0896122
1902 11 -0.229971
1902 12 -0.18876
1903 1 -0.272406
1903 2 -0.290963
1903 3 -0.256896
1903 4 -0.380317
1903 5 -0.251314
1903 6 -0.14412
1903 7 -0.337075
1903 8 -0.191578
1903 9 -0.36321
1903 10 -0.671001
1903 11 -0.658475
1903 12 -0.530252
1904 1 -0.664979
1904 2 -0.387922
1904 3 -0.48028
1904 4 -0.443674
1904 5 -0.44664
1904 6 -0.36932
1904 7 -0.255543
1904 8 -0.367639
1904 9 -0.45945
1904 10 -0.204069
1904 11 -0.333621
1904 12 -0.443936
1905 1 -0.450316
1905 2 -0.201023
1905 3 -0.208388
1905 4 -0.515972
1905 5 -0.292473
1905 6 -0.109846
1905 7 -0.157646
1905 8 -0.235247
1905 9 0.0111142
1905 10 -0.220557
1905 11 -0.142556
1905 12 -0.0978182
1906 1 -0.185689
1906 2 0.0616042
1906 3 -0.179737
1906 4 -0.361038
1906 5 -0.166431
1906 6 -0.135841
1906 7 -0.520043
1906 8 -0.475586
1906 9 -0.742988
1906 10 -0.478384
1906 11 -0.598458
1906 12 -0.5026
1907 1 -0.206007
1907 2 -0.188748
1907 3 -0.220579
1907 4 -0.186736
1907 5 -0.382135
1907 6 -0.503389
1907 7 -0.535864
1907 8 -0.796558
1907 9 -0.309789
1907 10 -0.26603
1907 11 -0.277939
1907 12 -0.172426
1908 1 -0.224604
1908 2 -0.224891
1908 3 -0.443905
1908 4 -0.533193
1908 5 -0.224704
1908 6 -0.0185845
1908 7 -0.403766
1908 8 -0.166972
1908 9 -0.285538
1908 10 -0.201912
1908 11 -0.324851
1908 12 -0.560557
1909 1 -0.521296
1909 2 -0.451698
1909 3 -0.406629
1909 4 -0.268278
1909 5 -0.534289
1909 6 -0.668245
1909 7 -0.625806
1909 8 -0.613174
1909 9 -0.444956
1909 10 -0.41053
1909 11 -0.305716
1909 12 -0.200331
1910 1 -0.321074
1910 2 -0.406992
1910 3 -0.499505
1910 4 -0.671943
1910 5 -0.551537
1910 6 -0.424893
1910 7 -0.562843
1910 8 -0.612109
1910 9 -0.624996
1910 10 -0.629309
1910 11 -0.65073
1910 12 -0.447366
1911 1 -0.152782
1911 2 -0.502763
1911 3 -0.288692
1911 4 -0.560743
1911 5 -0.302066
1911 6 -0.650157
1911 7 -0.577919
1911 8 -0.336199
1911 9 -0.388079
1911 10 -0.415852
1911 11 -0.219234
1911 12 -0.171897
1912 1 -0.165432
1912 2 -0.15633
1912 3 -0.20138
1912 4 -0.0237353
1912 5 -0.121537
1912 6 0.0188296
1912 7 -0.302864
1912 8 -0.255925
1912 9 -0.205359
1912 10 -0.2278
1912 11 -0.439833
1912 12 -0.446194
1913 1 -0.316025
1913 2 0.0272314
1913 3 -0.390728
1913 4 -0.444547
1913 5 -0.301691
1913 6 -0.214533
1913 7 -0.461448
1913 8 -0.577638
1913 9 -0.337795
1913 10 -0.2098
1913 11 -0.127639
1913 12 -0.0999813
1914 1 -0.130291
1914 2 0.0691288
1914 3 -0.1319
1914 4 -0.120849
1914 5 -0.0606096
1914 6 0.450746
1914 7 0.346309
1914 8 0.140585
1914 9 -0.0619201
1914 10 0.122696
1914 11 -0.0380137
1914 12 -0.283163
1915 1 -0.334923
1915 2 -0.319994
1915 3 -0.126353
1915 4 0.123273
1915 5 -0.0163171
1915 6 0.300212
1915 7 -0.0454162
1915 8 -0.0792919
1915 9 0.162033
1915 10 0.0186916
1915 11 0.0237609
1915 12 -0.00752482
1916 1 -0.302578
1916 2 -0.236557
1916 3 -0.139405
1916 4 0.0349527
1916 5 -0.167807
1916 6 -0.1738
1916 7 -0.341647
1916 8 -0.323139
1916 9 -0.45919
1916 10 -0.515535
1916 11 -0.747223
1916 12 -0.437415
1917 1 -0.417577
1917 2 -0.377992
1917 3 -0.59991
1917 4 -0.409344
1917 5 -0.534575
1917 6 -0.322011
1917 7 -0.215982
1917 8 -0.0245809
1917 9 -0.129864
1917 10 -0.523178
1917 11 -0.690284
1917 12 -0.77609
1918 1 -0.579049
1918 2 -0.639024
1918 3 -0.487873
1918 4 -0.581749
1918 5 -0.522338
1918 6 -0.343521
1918 7 -0.141396
1918 8 -0.211743
1918 9 0.0231921
1918 10 0.244751
1918 11 0.350062
1918 12 0.0781775
1919 1 0.237645
1919 2 0.153632
1919 3 -0.0462908
1919 4 -0.0772324
1919 5 0.0595944
1919 6 0.0517508
1919 7 0.0253345
1919 8 -0.050992
1919 9 0.0978131
1919 10 -0.170906
1919 11 -0.474445
1919 12 -0.406837
1920 1 -0.0375453
1920 2 -0.0853813
1920 3 0.0204293
1920 4 -0.0565706
1920 5 0.112008
1920 6 -0.22222
1920 7 -0.587784
1920 8 -0.246512
1920 9 -0.24689
1920 10 -0.340075
1920 11 -0.370786
1920 12 -0.39677
1921 1 -0.387993
1921 2 -0.336545
1921 3 -0.345017
1921 4 -0.16826
1921 5 -0.303511
1921 6 -0.334169
1921 7 -0.301548
1921 8 -0.581318
1921 9 -0.383163
1921 10 -0.111632
1921 11 -0.340955
1921 12 -0.107337
1922 1 -0.28405
1922 2 -0.129323
1922 3 -0.157743
1922 4 -0.444233
1922 5 -0.385574
1922 6 -0.0819846
1922 7 -0.343562
1922 8 -0.191704
1922 9 -0.389766
1922 10 -0.202933
1922 11 -0.252387
1922 12 -0.443556
1923 1 -0.432986
1923 2 -0.478354
1923 3 -0.299602
1923 4 -0.17461
1923 5 -0.15039
1923 6 -0.145959
1923 7 -0.320481
1923 8 -0.224332
1923 9 -0.13674
1923 10 0.105588
1923 11 0.256137
1923 12 -0.0824647
1924 1 -0.116158
1924 2 -0.0767753
1924 3 -0.00583303
1924 4 0.00666955
1924 5 -0.232615
1924 6 -0.16461
1924 7 -0.138559
1924 8 -0.251263
1924 9 -0.19752
1924 10 -0.134221
1924 11 -0.456669
1924 12 -0.383305
1925 1 -0.551983
1925 2 -0.483229
1925 3 -0.310199
1925 4 -0.0728001
1925 5 -0.215523
1925 6 -0.201614
1925 7 -0.0805831
1925 8 -0.132949
1925 9 0.142375
1925 10 0.0677076
1925 11 0.18219
1925 12 -0.0127275
1926 1 0.0948619
1926 2 -0.1077
1926 3 0.153717
1926 4 -3.1348e-05
1926 5 0.0909476
1926 6 0.13382
1926 7 0.215505
1926 8 0.0770896
1926 9 -0.049732
1926 10 0.134802
1926 11 -0.227979
1926 12 -0.223926
1927 1 -0.317403
1927 2 0.190277
1927 3 -0.246646
1927 4 -0.324028
1927 5 -0.334294
1927 6 -0.218868
1927 7 -0.190834
1927 8 -0.337276
1927 9 -0.260439
1927 10 -0.209221
1927 11 -0.188493
1927 12 -0.230662
1928 1 -0.0361399
1928 2 0.0156895
1928 3 -0.111754
1928 4 -0.330255
1928 5 -0.181218
1928 6 -0.194439
1928 7 -0.32371
1928 8 -0.297155
1928 9 -0.169583
1928 10 -0.287566
1928 11 0.0478528
1928 12 -0.122109
1929 1 -0.216783
1929 2 -0.348933
1929 3 -0.270127
1929 4 -0.0796442
1929 5 -0.402718
1929 6 -0.345455
1929 7 -0.411808
1929 8 -0.377875
1929 9 -0.12583
1929 10 -0.113161
1929 11 -0.100819
1929 12 0.173442
1930 1 -0.127976
1930 2 -0.196644
1930 3 -0.0128899
1930 4 0.139026
1930 5 -0.260505
1930 6 -0.239584
1930 7 -0.260934
1930 8 -0.163326
1930 9 -0.264797
1930 10 0.00107396
1930 11 0.280019
1930 12 0.099897
1931 1 0.318153
1931 2 0.425082
1931 3 0.184335
1931 4 0.164664
1931 5 0.304063
1931 6 0.269174
1931 7 0.279481
1931 8 0.000874591
1931 9 -0.248479
1931 10 -0.103649
1931 11 0.13948
1931 12 -0.387912
1932 1 -0.258134
1932 2 -0.435689
1932 3 -0.200051
1932 4 -0.158675
1932 5 -0.108537
1932 6 -0.176428
1932 7 -0.0789023
1932 8 -0.0882887
1932 9 -0.187032
1932 10 -0.248124
1932 11 -0.220944
1932 12 -0.150689
1933 1 0.0703483
1933 2 0.0193875
1933 3 -0.0706498
1933 4 -0.0103742
1933 5 -0.0648526
1933 6 -0.142057
1933 7 -0.070514
1933 8 -0.178844
1933 9 -0.551454
1933 10 -0.420462
1933 11 -0.384487
1933 12 -0.339109
1934 1 -0.662848
1934 2 -0.671718
1934 3 -0.678063
1934 4 -0.382132
1934 5 -0.492664
1934 6 -0.117748
1934 7 -0.178184
1934 8 0.0063121
1934 9 -0.0927742
1934 10 -0.170925
1934 11 -0.0292757
1934 12 0.126209
1935 1 -0.00389525
1935 2 0.162475
1935 3 -0.117713
1935 4 -0.00154133
1935 5 -0.0443971
1935 6 -0.033486
1935 7 -0.16508
1935 8 -0.142048
1935 9 -0.143513
1935 10 -0.174973
1935 11 0.0136973
1935 12 0.0355972
1936 1 0.119602
1936 2 0.0482455
1936 3 0.0236751
1936 4 -0.0069112
1936 5 -0.135361
1936 6 0.0239623
1936 7 0.0492318
1936 8 0.111671
1936 9 0.262749
1936 10 -0.0817621
1936 11 0.10376
1936 12 0.17415
1937 1 0.059502
1937 2 0.321231
1937 3 0.139507
1937 4 0.0071367
1937 5 0.114913
1937 6 0.0668491
1937 7 -0.0417599
1937 8 0.0715564
1937 9 0.271054
1937 10 0.134679
1937 11 0.254619
1937 12 -0.0627605
1938 1 0.126825
1938 2 0.0923245
1938 3 0.186343
1938 4 -0.0684695
1938 5 0.156612
1938 6 0.079923
1938 7 -0.0559042
1938 8 0.0683393
1938 9 -0.00591802
1938 10 -0.0691277
