# siod [Celsius] DMI (WIO-SEIO) SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1909 10 -0.32952
1909 11 -0.132238
1909 12 -0.0111759
1910 1 -0.359496
1910 2 0.0180677
1910 3 -0.319343
1910 4 -0.176275
1910 5 -0.296278
1910 6 -0.235803
1910 7 -0.704219
1910 8 -0.498464
1910 9 -0.61772
1910 10 -0.644738
1910 11 -0.393507
1910 12 -0.0524809
1911 1 0.0085794
1911 2 -0.301693
1911 3 -0.557711
1911 4 -0.529812
1911 5 -0.202359
1911 6 -0.590935
1911 7 -0.442274
1911 8 -0.2764
1911 9 -0.142943
1911 10 -0.266742
1911 11 0.0432919
1911 12 0.081457
1912 1 -0.0733821
1912 2 -0.111269
1912 3 0.110642
1912 4 -0.052511
1912 5 0.162471
1912 6 0.218364
1912 7 -0.343258
1912 8 -0.452984
1912 9 -0.326239
1912 10 -0.20628
1912 11 -0.451019
1912 12 -0.259639
1913 1 -0.0476049
1913 2 0.0545645
1913 3 0.0302017
1913 4 -0.0613776
1913 5 0.0396121
1913 6 0.318661
1913 7 -0.0205088
1913 8 -0.171435
1913 9 -0.0714349
1913 10 0.257065
1913 11 0.0330812
1913 12 -0.0181306
1914 1 -0.0971741
1914 2 0.0137006
1914 3 -0.179951
1914 4 -0.0298709
1914 5 0.123949
1914 6 0.762342
1914 7 0.405778
1914 8 0.275698
1914 9 0.329803
1914 10 0.329661
1914 11 -0.28445
1914 12 -0.474774
1915 1 -0.439329
1915 2 -0.500907
1915 3 -0.228177
1915 4 -0.0779326
1915 5 -0.26334
1915 6 0.0248494
1915 7 -0.378939
1915 8 -0.123662
1915 9 0.0219098
1915 10 0.0787286
1915 11 0.0527615
1915 12 0.212037
1916 1 0.0598091
1916 2 0.159224
1916 3 0.235852
1916 4 0.341929
1916 5 0.0740257
1916 6 -0.177195
1916 7 -0.358404
1916 8 -0.529766
1916 9 -0.853407
1916 10 -0.561808
1916 11 -0.428254
1916 12 -0.0434693
1917 1 0.161482
1917 2 0.136757
1917 3 0.0875562
1917 4 -0.0269252
1917 5 -0.169795
1917 6 -0.117488
1917 7 -0.264371
1917 8 -0.114761
1917 9 -0.462756
1917 10 -0.662098
1917 11 -0.604636
1917 12 -0.42874
1918 1 0.201137
1918 2 0.325641
1918 3 0.279091
1918 4 -0.0803356
1918 5 -0.189039
