# wio [Celsius] West Indian Ocean SST anomalies
# from <a href=http://www.jamstec.go.jp/frcgc/research/d1/iod/e/iod/about_iod.html>JAMSTEC</a>
1905 6 0.114284
1905 7 -0.217723
1905 8 -0.327428
1905 9 -0.409844
1905 10 -0.143423
1905 11 0.0172104
1905 12 0.222358
1906 1 0.224384
1906 2 0.353853
1906 3 0.154004
1906 4 0.208435
1906 5 0.0168697
1906 6 0.0230255
1906 7 0.135403
1906 8 0.281536
1906 9 0.471982
1906 10 0.12695
1906 11 -0.0927205
1906 12 -0.401448
1907 1 -0.0310825
1907 2 -0.200032
1907 3 -0.350811
1907 4 -0.0340041
1907 5 -0.31321
1907 6 -0.383839
1907 7 -0.264917
1907 8 -0.177904
1907 9 -0.187196
1907 10 -0.254038
1907 11 -0.177427
1907 12 -0.192783
1908 1 -0.0223686
1908 2 -0.0719986
1908 3 -0.364338
1908 4 0.0377538
1908 5 -0.226322
1908 6 -0.281792
1908 7 -0.139028
1908 8 -0.0228467
1908 9 -0.363096
1908 10 -0.129179
1908 11 -0.112017
1908 12 -0.224512
1909 1 0.0110403
1909 2 -0.155869
1909 3 -0.0385299
1909 4 -0.0423078
1909 5 0.0266716
1909 6 0.0175271
1909 7 0.0678938
1909 8 0.0569202
1909 9 0.0684249
1909 10 -0.0836233
1909 11 -0.177787
1909 12 -0.195175
1910 1 0.0384224
1910 2 -0.428695
1910 3 -0.184187
1910 4 -0.499037
1910 5 -0.259269
1910 6 -0.192717
1910 7 0.13732
1910 8 -0.115948
1910 9 -0.0110121
1910 10 0.0128163
1910 11 -0.261533
1910 12 -0.400905
1911 1 -0.161362
1911 2 -0.204705
1911 3 0.264994
1911 4 -0.0343002
1911 5 -0.103717
1911 6 -0.0628487
1911 7 -0.139702
1911 8 -0.0621018
1911 9 -0.248872
1911 10 -0.151722
1911 11 -0.266835
1911 12 -0.259374
1912 1 -0.0920496
1912 2 -0.048697
1912 3 -0.316048
1912 4 0.0254071
1912 5 -0.288019
1912 6 -0.203161
1912 7 0.0363383
1912 8 0.194757
1912 9 0.117145
1912 10 -0.0241327
1912 11 0.00687675
1912 12 -0.192574
1913 1 -0.26842
1913 2 -0.030969
1913 3 -0.424955
1913 4 -0.386538
1913 5 -0.345314
1913 6 -0.536821
1913 7 -0.444995
1913 8 -0.408505
1913 9 -0.270095
1913 10 -0.469478
1913 11 -0.16503
1913 12 -0.0878704
1914 1 -0.0331166
1914 2 0.0517923
1914 3 0.044026
1914 4 -0.0943472
1914 5 -0.188569
1914 6 -0.315223
1914 7 -0.0635258
1914 8 -0.137415
1914 9 -0.395459
1914 10 -0.209579
1914 11 0.242127
1914 12 0.185591
1915 1 0.104406
1915 2 0.177277
1915 3 0.0977993
1915 4 0.197837
1915 5 0.243012
1915 6 0.271735
1915 7 0.329466
1915 8 0.0420673
1915 9 0.136388
1915 10 -0.0626501
1915 11 -0.0333106
1915 12 -0.225582
1916 1 -0.362387
1916 2 -0.399417
1916 3 -0.379282
1916 4 -0.310345
1916 5 -0.245843
1916 6 -0.000232377
1916 7 0.0127007
1916 8 0.204324
1916 9 0.390481
1916 10 0.0436601
1916 11 -0.323279
1916 12 -0.399965
1917 1 -0.579058
1917 2 -0.518385
1917 3 -0.691491
1917 4 -0.385787
1917 5 -0.368791
1917 6 -0.208149
1917 7 0.0443331
1917 8 0.0878775
1917 9 0.329156
1917 10 0.136307
1917 11 -0.0899585
1917 12 -0.353369
1918 1 -0.780186
1918 2 -0.968301
1918 3 -0.770989
1918 4 -0.504782
1918 5 -0.33731
1918 6 -0.369709
1918 7 -0.33872
1918 8 -0.44826
1918 9 -0.370413
1918 10 -0.298276
1918 11 -0.128796
1918 12 -0.218029
1919 1 0.0809216
1919 2 0.0853123
1919 3 0.0542925
1919 4 0.125063
1919 5 0.2239
1919 6 0.186658
1919 7 -0.118673
1919 8 -0.0477284
1919 9 -0.0719473
1919 10 -0.218967
1919 11 -0.494157
1919 12 -0.24398
1920 1 -0.236502
1920 2 -0.325812
1920 3 -0.291043
1920 4 -0.322439
1920 5 -0.386023
1920 6 -0.382298
1920 7 -0.329915
1920 8 0.0311276
1920 9 -0.0406568
1920 10 -0.286275
1920 11 -0.0770086
1920 12 -0.249436
1921 1 -0.28222
1921 2 -0.376044
1921 3 -0.443517
1921 4 -0.186407
1921 5 -0.489689
1921 6 -0.33973
1921 7 -0.190733
1921 8 0.0395992
1921 9 -0.2404
1921 10 -0.0365885
1921 11 -0.146828
1921 12 0.0363327
1922 1 -0.0940786
1922 2 -0.118406
1922 3 -0.409251
1922 4 -0.2639
1922 5 -0.243506
1922 6 -0.223819
1922 7 -0.122785
1922 8 -0.0911265
1922 9 -0.274489
1922 10 -0.0666375
1922 11 0.00688594
1922 12 -0.380518
1923 1 -0.416269
1923 2 -0.262473
1923 3 -0.193549
1923 4 -0.139624
1923 5 -0.0698531
1923 6 -0.266246
1923 7 -0.241156
1923 8 -0.526626
1923 9 -0.771724
1923 10 -0.548391
1923 11 -0.460788
1923 12 -0.113751
1924 1 0.135104
1924 2 0.32832
1924 3 0.244023
1924 4 0.0605663
1924 5 -0.0585972
1924 6 0.0472326
1924 7 -0.0673941
1924 8 -0.13527
1924 9 0.0555404
1924 10 -0.326994
1924 11 -0.341881
1924 12 -0.259724
1925 1 -0.42459
1925 2 -0.643595
1925 3 -0.478213
1925 4 -0.758814
1925 5 -0.401041
1925 6 -0.504933
1925 7 -0.224059
1925 8 -0.403237
1925 9 -0.626921
1925 10 -0.416583
1925 11 -0.205266
1925 12 -0.100621
1926 1 -0.087132
1926 2 0.0629898
1926 3 0.0202933
1926 4 0.0427396
1926 5 -0.0580977
1926 6 -0.226982
1926 7 0.129274
1926 8 -0.218635
1926 9 -0.0461917
1926 10 -0.13614
1926 11 -0.0161867
1926 12 -0.0474
1927 1 -0.3034
1927 2 -0.0382253
1927 3 -0.224006
1927 4 -0.134083
1927 5 -0.31573
1927 6 -0.2765
1927 7 0.0584262
1927 8 -0.0403873
1927 9 -0.00279716
1927 10 -0.00147773
1927 11 -0.186915
1927 12 -0.096034
1928 1 0.147931
1928 2 0.185547
1928 3 -0.00486361
1928 4 -0.230559
1928 5 -0.139554
1928 6 0.0515869
1928 7 -0.00429212
1928 8 0.271606
1928 9 0.3048
1928 10 0.0373721
1928 11 -0.0354731
1928 12 0.00433332
1929 1 -0.125252
1929 2 -0.184232
1929 3 -0.209921
1929 4 -0.0694841
1929 5 -0.275338
1929 6 -0.318889
1929 7 -0.33914
1929 8 -0.201025
1929 9 -0.213675
1929 10 -0.148327
1929 11 -0.101349
1929 12 -0.0384847
1930 1 0.107722
1930 2 0.128118
1930 3 0.126736
1930 4 0.180106
1930 5 -0.0450499
1930 6 -0.312184
1930 7 -0.174911
1930 8 -0.137285
1930 9 0.139476
1930 10 0.0304385
1930 11 -0.107911
1930 12 -0.0256131
1931 1 0.18599
1931 2 0.564892
1931 3 0.55924
1931 4 0.477872
1931 5 0.327672
1931 6 0.331414
1931 7 0.362618
1931 8 0.190162
1931 9 0.354229
1931 10 0.094338
1931 11 0.0443989
1931 12 0.176338
1932 1 -0.0213062
1932 2 -0.0521098
1932 3 0.0475764
1932 4 -0.244575
1932 5 0.0288151
1932 6 -0.0150149
1932 7 -0.161128
1932 8 0.0849887
1932 9 -0.177967
1932 10 0.0823226
1932 11 -0.188375
1932 12 -0.356862
1933 1 0.0742627
1933 2 -0.0817348
1933 3 -0.281399
1933 4 -0.394475
1933 5 0.0482465
1933 6 -0.0567102
1933 7 0.0643568
1933 8 0.126714
1933 9 0.596585
1933 10 0.165969
1933 11 -0.0645566
1933 12 -0.114204
1934 1 -0.250384
1934 2 -0.604323
1934 3 -0.681971
1934 4 -0.458035
1934 5 -0.520081
1934 6 -0.315928
1934 7 -0.186254
1934 8 -0.289609
1934 9 0.00387966
1934 10 -0.241341
1934 11 -0.159057
1934 12 0.0468377
1935 1 -0.189254
1935 2 0.0171273
1935 3 -0.406858
1935 4 0.0175597
1935 5 -0.33218
1935 6 -0.335559
1935 7 -0.531591
1935 8 -0.425202
1935 9 -0.287322
1935 10 -0.254419
1935 11 -0.371153
1935 12 -0.214828
1936 1 -0.13955
1936 2 0.247708
1936 3 0.0673754
1936 4 -0.144875
1936 5 -0.171954
1936 6 -0.253376
1936 7 -0.211163
1936 8 0.235657
1936 9 0.307826
1936 10 0.212443
1936 11 -0.11679
1936 12 0.258386
1937 1 -0.0134795
1937 2 0.366115
1937 3 0.234521
1937 4 0.215542
1937 5 -0.155706
1937 6 0.153577
1937 7 0.186306
1937 8 0.0206088
1937 9 -0.0436808
1937 10 0.0535809
1937 11 0.0969404
1937 12 -0.162059
1938 1 0.0188597
1938 2 0.130571
1938 3 0.0125072
1938 4 0.0762699
1938 5 -0.0890928
1938 6 0.259602
1938 7 0.239186
1938 8 -0.094275
1938 9 0.0492791
1938 10 0.142602
1938 11 0.191757
1938 12 0.106506
1939 1 -0.323546
1939 2 -0.3825
1939 3 -0.385014
1939 4 -0.152358
1939 5 -0.180061
1939 6 -0.131917
1939 7 0.0118603
1939 8 -0.0450473
1939 9 -0.236197
1939 10 -0.326233
1939 11 0.167271
1939 12 -0.0530116
1940 1 -0.184276
1940 2 -0.0194771
1940 3 0.254236
1940 4 0.115765
1940 5 0.0814689
1940 6 -0.0934169
1940 7 0.183611
1940 8 -0.169707
1940 9 0.0589409
1940 10 0.260381
1940 11 0.327675
1940 12 0.316691
1941 1 0.483538
1941 2 0.676161
1941 3 0.456024
1941 4 0.489062
